Dataset,Algoritmo,Rapporto compressione,Tempo compressione,Dimensione iniziale,Dimensione finale
ArtGallery2,FLV1,216.52144350703222,0.41631054878234863,89260099,412246
ArtGallery2,MJPEG,28.755252353959175,0.3933579921722412,89260099,3104132
ArtGallery2,ProRes,33.25819223333021,0.41437721252441406,89260099,2683853
ArtGallery2,MPEG4,260.4157398762983,0.3142859935760498,89260099,342760
ArtGallery2_random,FLV1,92.75626826338345,0.5034570693969727,89260099,962308
ArtGallery2_random,MJPEG,28.755252353959175,0.3543276786804199,89260099,3104132
ArtGallery2_random,ProRes,33.25819223333021,0.4253883361816406,89260099,2683853
ArtGallery2_random,MPEG4,119.65545674391669,0.31028246879577637,89260099,745976
Blob,FLV1,140.70827061359572,0.37412381172180176,53655722,381326
Blob,MJPEG,23.08877278078806,0.3343038558959961,53655722,2323888
Blob,ProRes,24.750593212833326,0.41938161849975586,53655722,2167856
Blob,MPEG4,154.8496747493521,0.2922642230987549,53655722,346502
Blob_random,FLV1,27.951934051931396,0.5094635486602783,53655722,1919571
Blob_random,MJPEG,23.08877278078806,0.3262965679168701,53655722,2323888
Blob_random,ProRes,24.750730218595066,0.39676856994628906,53655722,2167844
Blob_random,MPEG4,48.962651822785965,0.31628847122192383,53655722,1095850
Car,FLV1,186.62398460001177,0.3833479881286621,63500677,340260
Car,MJPEG,23.728423059446726,0.44240236282348633,63500677,2676144
Car,ProRes,25.769422937463755,0.48444056510925293,63500677,2464187
Car,MPEG4,185.23469715179166,0.3292999267578125,63500677,342812
Car_random,FLV1,53.644153821070354,0.5404927730560303,63500677,1183739
Car_random,MJPEG,23.728423059446726,0.3463151454925537,63500677,2676144
Car_random,ProRes,25.769422937463755,0.4163789749145508,63500677,2464187
Car_random,MPEG4,72.10758223015587,0.32329392433166504,63500677,880638
Cobblestone,FLV1,113.05444219352484,0.4183807373046875,102795656,909258
Cobblestone,MJPEG,16.396305890159248,0.3643319606781006,102795656,6269440
Cobblestone,ProRes,14.78326728039952,0.42438554763793945,102795656,6953514
Cobblestone,MPEG4,124.56969047728688,0.3112828731536865,102795656,825206
Cobblestone_random,FLV1,32.263201008863966,0.5184726715087891,102795656,3186158
Cobblestone_random,MJPEG,16.396305890159248,0.3463134765625,102795656,6269440
Cobblestone_random,ProRes,14.78326728039952,0.4383983612060547,102795656,6953514
Cobblestone_random,MPEG4,49.674711603884454,0.3242950439453125,102795656,2069376
Dice,FLV1,21.087547642455995,0.1724071502685547,3131543,148502
Dice,MJPEG,5.7552010203556545,0.13312101364135742,3131543,544124
Dice,ProRes,5.596138244071552,0.14713406562805176,3131543,559590
Dice,MPEG4,23.29635773906057,0.11610531806945801,3131543,134422
Dice_random,FLV1,19.009232842452864,0.16646909713745117,3131543,164738
Dice_random,MJPEG,5.7552010203556545,0.13412141799926758,3131543,544124
Dice_random,ProRes,5.596138244071552,0.14713239669799805,3131543,559590
Dice_random,MPEG4,20.76509866850565,0.12311172485351562,3131543,150808
Dragons,FLV1,89.17345041790729,0.16215038299560547,11799966,132326
Dragons,MJPEG,14.558656750301044,0.15213871002197266,11799966,810512
Dragons,ProRes,13.101727434430106,0.1511373519897461,11799966,900642
Dragons,MPEG4,93.62228851616179,0.13312101364135742,11799966,126038
Dragons_random,FLV1,72.87798460911348,0.16747021675109863,11799966,161914
Dragons_random,MJPEG,14.558656750301044,0.15100741386413574,11799966,810512
Dragons_random,ProRes,13.101727434430106,0.15213823318481445,11799966,900642
Dragons_random,MPEG4,78.33118253873421,0.14012789726257324,11799966,150642
Fish,FLV1,67.30563838934523,0.1522228717803955,7357987,109322
Fish,MJPEG,11.362458112636471,0.13512349128723145,7357987,647570
Fish,ProRes,9.663265212315103,0.1461353302001953,7357987,761439
Fish,MPEG4,38.84400603936143,0.13212227821350098,7357987,189424
Fish_random,FLV1,60.93167326388314,0.15493559837341309,7357987,120758
Fish_random,MJPEG,11.362458112636471,0.1411266326904297,7357987,647570
Fish_random,ProRes,9.663265212315103,0.14913654327392578,7357987,761439
Fish_random,MPEG4,36.34938050824013,0.13042807579040527,7357987,202424
Mannequin,FLV1,174.0767062337148,0.384350061416626,79968924,459389
Mannequin,MJPEG,22.216083138218846,0.35031771659851074,79968924,3599596
Mannequin,ProRes,22.363249837523785,0.440401554107666,79968924,3575908
Mannequin,MPEG4,201.64943743160165,0.309281587600708,79968924,396574
Mannequin_random,FLV1,50.63093181921786,0.48114633560180664,79968924,1579448
Mannequin_random,MJPEG,22.216083138218846,0.34731602668762207,79968924,3599596
Mannequin_random,ProRes,22.363249837523785,0.4242863655090332,79968924,3575908
Mannequin_random,MPEG4,59.24615824575077,0.3172891139984131,79968924,1349774
Messerschmitt,FLV1,26.549393741421575,0.20316576957702637,8859161,333686
Messerschmitt,MJPEG,11.734423263379304,0.1481339931488037,8859161,754972
Messerschmitt,ProRes,10.701382614283713,0.1461317539215088,8859161,827852
Messerschmitt,MPEG4,34.69853672674861,0.1311190128326416,8859161,255318
Messerschmitt_random,FLV1,19.390903798000316,0.1819140911102295,8859161,456872
Messerschmitt_random,MJPEG,11.734423263379304,0.14250421524047852,8859161,754972
Messerschmitt_random,ProRes,10.701382614283713,0.1485300064086914,8859161,827852
Messerschmitt_random,MPEG4,23.843920570155134,0.1368560791015625,8859161,371548
OpEx,FLV1,40.47259126829616,4.815380096435547,73800556,1823470
OpEx,MJPEG,15.631889152524996,5.462382555007935,73800556,4721154
OpEx,ProRes,20.425714064299,4.977996826171875,73800556,3613120
OpEx,MPEG4,50.20965161023453,4.313924312591553,73800556,1469848
OpEx_random,FLV1,13.811136932461055,5.4099204540252686,73800556,5343554
OpEx_random,MJPEG,14.661509615533614,5.320839166641235,73800556,5033626
OpEx_random,ProRes,19.292815414895667,4.6662468910217285,73800556,3825287
OpEx_random,MPEG4,27.660444737621294,4.214834213256836,73800556,2668090



MODIFICA COBBLESTONE CON SSIM 0,85:
Cobblestone,FLV1,199.14267393271095,0.40737056732177734,102795656,516191
Cobblestone,MJPEG,23.12632953892519,0.37534236907958984,102795656,4444962
Cobblestone,ProRes,24.369687663651856,0.4534127712249756,102795656,4218177
Cobblestone,MPEG4,230.48766794023211,0.32529592514038086,102795656,445992


MODIFICA COBBLESTONE_RANDOM CON SSIM 0,85:
Cobblestone_random,FLV1,48.04756723204403,0.511465311050415,102795656,2139456
Cobblestone_random,MJPEG,23.12632953892519,0.34331250190734863,102795656,4444962
Cobblestone_random,ProRes,24.369756991488003,0.5444943904876709,102795656,4218165
Cobblestone_random,MPEG4,76.41277128423481,0.3643302917480469,102795656,1345268


MODIFICA COBBLESTONE CON SSIM 0,95:
Cobblestone,FLV1,55.442018304189986,0.5144670009613037,102795656,1854111
Cobblestone,MJPEG,10.12233536477889,0.3883533477783203,102795656,10155330
Cobblestone,ProRes,7.869086548759089,0.44240808486938477,102795656,13063226
Cobblestone,MPEG4,60.29466803684465,0.32029080390930176,102795656,1704888


MODIFICA COBBLESTONE_RANDOM CON SSIM 0,95:
Cobblestone_random,FLV1,15.335647204341067,0.7496888637542725,102795656,6703053
Cobblestone_random,MJPEG,10.12233536477889,0.44940876960754395,102795656,10155330
Cobblestone_random,ProRes,7.869086548759089,0.452411413192749,102795656,13063226
Cobblestone_random,MPEG4,20.467192570971196,0.34831690788269043,102795656,5022460


MODIFICA MESSERSCHMITT CON SSIM 0,85:
Messerschmitt,FLV1,49.44197273178817,0.1475677490234375,8859161,179183
Messerschmitt,MJPEG,16.861681150814043,0.1347033977508545,8859161,525402
Messerschmitt,ProRes,16.74778770263245,0.15720224380493164,8859161,528975
Messerschmitt,MPEG4,60.84170730032278,0.16639947891235352,8859161,145610


MODIFICA MESSERSCHMITT CON SSIM 0,95:
Messerschmitt,FLV1,10.81493359050735,0.20144248008728027,8859161,819160
Messerschmitt,MJPEG,6.9106591801902715,0.15928435325622559,8859161,1281956
Messerschmitt,ProRes,5.567978827106684,0.23906469345092773,8859161,1591091
Messerschmitt,MPEG4,13.354700365103245,0.14333772659301758,8859161,663374


MODIFICA MESSERSCHMITT_RANDOM CON SSIM 0,85:
Messerschmitt_random,FLV1,32.35644030840142,0.16672992706298828,8859161,273799
Messerschmitt_random,MJPEG,16.861681150814043,0.138991117477417,8859161,525402
Messerschmitt_random,ProRes,16.74778770263245,0.14435410499572754,8859161,528975
Messerschmitt_random,MPEG4,40.41145586249681,0.1336524486541748,8859161,219224


MODIFICA MESSERSCHMITT_RANDOM CON SSIM 0,95:
Messerschmitt_random,FLV1,8.051857601318957,0.19281554222106934,8859161,1100263
Messerschmitt_random,MJPEG,6.9106591801902715,0.16019845008850098,8859161,1281956
Messerschmitt_random,ProRes,5.567978827106684,0.17812252044677734,8859161,1591091
Messerschmitt_random,MPEG4,9.11468199504921,0.15963387489318848,8859161,971966


--- DA COPIARE SUL PAPER (LA VERSIONE SSIM 0,90 STA SOPRA)

--- PER I SEGUENTI PRORES NON SCENDE SOTTO 0,90. QUINDI RIMOSSO DAGLI ESPERIMENTI PER FARE SEMPRE 3 CONFRONTI

MODIFICA DRAGONS CON SSIM 0,85:
Dragons,FLV1,143.2817193855868,0.12156295776367188,11799966,82355
Dragons,MJPEG,18.513816367516004,0.15088176727294922,11799966,637360
Dragons,MPEG4,157.7240356083086,0.11829376220703125,11799966,74814


MODIFICA DRAGONS CON SSIM 0,95:
Dragons,FLV1,31.206604182754862,0.14491724967956543,11799966,378124
Dragons,MJPEG,7.492384413763677,0.1286756992340088,11799966,1574928
Dragons,MPEG4,33.289039975174205,0.1172938346862793,11799966,354470


MODIFICA DRAGONS_RANDOM CON SSIM 0,85:
Dragons_random,FLV1,119.39297603027329,0.13184142112731934,11799966,98833
Dragons_random,MJPEG,18.513816367516004,0.12861895561218262,11799966,637360
Dragons_random,MPEG4,133.39323988243274,0.11673688888549805,11799966,88460


MODIFICA DRAGONS_RANDOM CON SSIM 0,95:
Dragons_random,FLV1,25.573101354294668,0.1513209342956543,11799966,461421
Dragons_random,MJPEG,7.492384413763677,0.1499927043914795,11799966,1574928
Dragons_random,MPEG4,27.438973686413483,0.11690735816955566,11799966,430044


MODIFICA MANNEQUIN CON SSIM 0,85:
Mannequin,FLV1,258.0949835884625,0.5418949127197266,79968924,309843
Mannequin,MJPEG,28.637631148650534,0.7548172473907471,79968924,2792442
Mannequin,MPEG4,317.49322682589843,0.480069637298584,79968924,251876


MODIFICA MANNEQUIN CON SSIM 0,95:
Mannequin,FLV1,77.85583868232307,0.540020227432251,79968924,1027141
Mannequin,MJPEG,13.56332855379424,0.586458683013916,79968924,5895966
Mannequin,MPEG4,85.7011297654949,0.5133564472198486,79968924,933114


MODIFICA MANNEQUIN_RANDOM CON SSIM 0,85:
Mannequin_random,FLV1,79.55017189514396,0.6029613018035889,79968924,1005264
Mannequin_random,MJPEG,28.637631148650534,0.5965979099273682,79968924,2792442
Mannequin_random,MPEG4,106.3920206906461,0.4651312828063965,79968924,751644


MODIFICA MANNEQUIN_RANDOM CON SSIM 0,95:
Mannequin_random,FLV1,21.114849481072554,0.7343075275421143,79968924,3787331
Mannequin_random,MJPEG,13.56332855379424,0.5803520679473877,79968924,5895966
Mannequin_random,MPEG4,25.22947998871804,0.532677412033081,79968924,3169662


--- PER I SEGUENTI NON SI RIESCE A SCENDERE SOTTO 0,90. QUINDI FATTI SOLO 2 CONFRONTI

MODIFICA ARTGALLERY2 CON SSIM 0,90
ArtGallery2,FLV1,342.9097701900101,0.5204188823699951,89260099,260302
ArtGallery2,MJPEG,36.222631774590454,0.48888587951660156,89260099,2464208
ArtGallery2,MPEG4,441.0301842976432,0.42461299896240234,89260099,202390


MODIFICA ARTGALLERY2 CON SSIM 0,95
ArtGallery2,FLV1,100.527978529428,0.5292673110961914,89260099,887913
ArtGallery2,MJPEG,19.161995103671302,0.5713796615600586,89260099,4658184
ArtGallery2,MPEG4,123.99819267903035,0.5270071029663086,89260099,719850


MODIFICA ARTGALLERY2 RANDOM CON SSIM 0,90
ArtGallery2_random,FLV1,154.24457051419407,0.5595684051513672,89260099,578692
ArtGallery2_random,MJPEG,36.222631774590454,0.6431994438171387,89260099,2464208
ArtGallery2_random,MPEG4,209.45699636278306,0.5011100769042969,89260099,426150


MODIFICA ARTGALLERY2 RANDOM CON SSIM 0,95
ArtGallery2_random,FLV1,44.61017566674047,0.6048731803894043,89260099,2000891
ArtGallery2_random,MJPEG,19.161995103671302,0.5520708560943604,89260099,4658184
ArtGallery2_random,MPEG4,56.3155909344996,0.5308866500854492,89260099,1584998


MODIFICA BLOB CON SSIM 0,90
Blob,FLV1,167.0648665647467,0.6502730846405029,53655722,321167
Blob,MJPEG,25.308347798196294,0.5939795970916748,53655722,2120080
Blob,MPEG4,209.3914519641282,0.5698137283325195,53655722,256246


MODIFICA BLOB CON SSIM 0,95
Blob,FLV1,117.24054582600431,0.486431360244751,53655722,457655
Blob,MJPEG,19.59098888708761,0.46285176277160645,53655722,2738796
Blob,MPEG4,127.63806039383977,0.4431123733520508,53655722,420374


MODIFICA BLOB RANDOM CON SSIM 0,90
Blob_random,FLV1,35.66662013549876,2.0288732051849365,53655722,1504368
Blob_random,MJPEG,25.308347798196294,0.8844094276428223,53655722,2120080
Blob_random,MPEG4,62.63523448644585,0.8070104122161865,53655722,856638


MODIFICA BLOB RANDOM CON SSIM 0,95
Blob_random,FLV1,22.317105349627866,0.7370383739471436,53655722,2404242
Blob_random,MJPEG,19.009567896423253,0.5292744636535645,53655722,2822564
Blob_random,MPEG4,35.32859131318798,0.46371912956237793,53655722,1518762


--- CON I RESTANTI MJPEG NON SCENDE SOTTO A 0,94
--- FLV1 E MPEG4 POSSONO SCENDERE ANCORA, MA PER VALORI DEL PARAMETRO MOLTO ALTI


